Status,Tanggal_YMD,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo
Sembuh,2020-09-13,,98,34,2,,7,958,4,192,110,616,2,143,6,78,6,,9,48,23,12,64,25,47,2,5,26,8,,,18,3,2,4
Meninggal,2020-09-13,4,6,,,,2,5,,5,6,17,,2,1,,,,1,3,3,1,,,4,,,8,,,,3,,,2
Terkonfirmasi,2020-09-14,153,86,55,,1,33,879,,203,171,343,26,123,,141,5,19,22,27,118,16,94,21,185,,60,128,5,31,99,96,1,,
Sembuh,2020-09-14,52,91,23,,,23,1494,,164,242,365,6,182,,77,9,77,23,99,41,40,57,11,63,,8,86,,93,20,,1,,48
Meninggal,2020-09-14,5,5,,,,1,27,,,8,37,,2,,3,,,,5,4,1,6,,3,,1,4,,,4,,,,2
Terkonfirmasi,2020-09-15,140,68,62,1,9,26,1076,10,347,198,378,4,51,57,77,5,8,20,40,128,6,249,58,107,1,29,145,16,16,51,65,4,39,16
Sembuh,2020-09-15,145,55,28,5,27,15,981,,257,187,338,,84,18,56,,24,9,50,86,26,90,16,,1,6,66,1,13,12,20,5,,39
Meninggal,2020-09-15,6,5,1,,,,32,,6,12,32,1,3,1,1,,,1,4,5,,6,,,,,5,1,,,2,,,
Terkonfirmasi,2020-09-16,95,49,138,11,4,48,1294,14,293,340,372,19,217,64,11,2,22,9,57,116,11,126,60,164,4,22,183,10,19,42,126,2,13,6
Sembuh,2020-09-16,399,50,48,2,16,50,945,8,213,124,342,11,179,120,57,10,7,13,41,59,15,66,9,132,,22,24,16,,22,10,2,1,23
Meninggal,2020-09-16,11,4,1,,,,31,,1,14,35,,5,3,2,,,,4,5,2,4,2,3,,2,4,,,,2,,,
Terkonfirmasi,2020-09-17,109,63,121,10,30,41,1113,6,353,293,327,22,169,,36,2,34,19,58,119,30,117,35,120,2,21,225,6,3,55,73,5,13,5
Sembuh,2020-09-17,,92,44,,18,20,952,8,331,230,281,4,102,,37,8,2,20,18,36,21,71,11,12,,21,34,166,,7,16,11,2,10
Meninggal,2020-09-17,12,6,3,,,,14,1,3,16,29,,5,,,,,3,3,2,1,8,2,,,1,9,,,1,3,,,
Terkonfirmasi,2020-09-18,116,51,141,1,13,53,1258,7,341,198,485,15,119,55,25,2,88,20,60,134,20,125,17,159,11,7,225,1,7,54,58,2,11,12
Sembuh,2020-09-18,160,94,26,3,4,31,1028,3,288,420,527,11,167,77,199,4,286,11,28,63,25,71,15,64,1,2,195,12,59,122,67,4,4,17
Meninggal,2020-09-18,3,5,1,1,,,22,,2,8,26,,7,2,2,,4,2,4,2,,10,,1,,1,3,,,1,5,,,2
Terkonfirmasi,2020-09-19,175,85,128,4,7,74,988,14,470,271,379,21,111,50,78,3,45,53,38,159,22,97,59,167,8,21,303,19,41,48,205,1,2,22
Sembuh,2020-09-19,44,140,22,13,1,20,1025,2,554,403,429,9,90,30,248,5,17,22,35,130,30,76,7,40,,6,72,,45,,43,5,1,12
Meninggal,2020-09-19,,7,1,,1,1,10,,,40,20,,3,4,2,,1,3,2,2,2,5,,2,1,1,1,,,,3,,,
Terkonfirmasi,2020-09-20,68,121,179,1,6,70,1138,14,427,303,336,6,60,44,85,1,12,19,71,106,41,95,68,174,23,13,298,,15,60,50,19,6,60
Sembuh,2020-09-20,,125,32,2,4,15,1071,1,418,300,412,15,62,13,59,,,11,14,37,26,94,,76,,,77,,,50,,9,51,3
Meninggal,2020-09-20,4,10,5,,,4,14,,6,9,23,,1,1,3,,1,,1,3,1,5,1,8,,1,4,,,,,,,
Terkonfirmasi,2020-09-21,99,139,121,1,,64,1352,,680,238,368,1,178,28,82,3,85,25,47,181,22,100,36,36,1,10,160,19,49,21,27,1,,2
Sembuh,2020-09-21,376,80,55,4,27,37,1299,1,257,321,341,15,74,22,96,2,,12,56,88,20,77,45,96,1,,33,,2,13,,,,20
Meninggal,2020-09-21,2,6,7,,,2,29,,2,20,25,,6,2,2,,,3,1,1,2,2,1,3,,,6,1,1,,,,,
Terkonfirmasi,2020-09-22,91,108,129,8,5,67,1236,,575,228,341,11,114,,85,11,23,11,48,201,12,98,38,121,9,24,253,3,37,71,73,25,11,4
Sembuh,2020-09-22,94,119,122,1,28,35,843,,588,406,403,,152,,40,6,5,15,57,90,28,44,116,89,4,24,133,,31,3,12,2,,11
Meninggal,2020-09-22,6,7,16,,,,30,,11,42,25,,5,,,,,2,1,2,1,1,2,1,1,1,,1,1,,2,,,2
Terkonfirmasi,2020-09-23,50,130,216,14,31,63,1133,9,516,257,338,6,196,92,82,29,117,24,110,204,6,87,90,124,14,16,188,21,2,87,138,10,17,48
Sembuh,2020-09-23,,86,40,,18,56,1105,4,170,371,453,2,222,38,104,4,19,20,14,105,16,115,134,81,2,34,325,,24,19,50,5,9,15
Meninggal,2020-09-23,3,7,7,,,1,28,,13,20,20,1,4,,3,,,,5,2,,5,1,1,1,,11,,,,4,,1,2
Terkonfirmasi,2020-09-24,56,119,130,1,7,22,1044,4,804,434,343,16,195,39,63,18,11,39,83,302,22,96,71,165,4,21,231,4,,,266,6,18,
Sembuh,2020-09-24,115,131,83,5,14,18,1154,2,249,689,431,7,123,19,81,1,16,20,32,143,36,139,84,74,3,,115,12,,,68,10,,21
Meninggal,2020-09-24,,5,1,,,3,20,,12,25,27,,5,,2,,,3,1,2,1,3,1,3,1,,9,,,,2,2,,
Terkonfirmasi,2020-09-25,91,144,111,1,11,61,1171,10,734,331,293,34,392,43,33,6,147,18,44,208,33,94,79,169,6,15,195,6,,146,110,21,21,45
Sembuh,2020-09-25,,74,236,3,12,25,1620,1,848,271,343,40,55,30,52,14,13,39,39,83,12,101,28,84,,25,174,,,100,,12,,9
Meninggal,2020-09-25,2,4,2,,1,,13,,13,13,22,,8,,4,1,,2,5,4,,5,1,1,,,5,,,3,,2,,2
Terkonfirmasi,2020-09-26,191,63,135,1,10,41,1322,16,386,364,279,11,219,,40,7,93,28,60,141,22,98,180,193,21,12,262,3,73,131,77,4,6,5
Sembuh,2020-09-26,,87,47,1,12,40,764,,622,212,338,11,98,,15,,68,11,21,123,34,155,35,150,4,62,200,,8,17,55,1,10,6
Meninggal,2020-09-26,3,2,,,2,,12,1,18,14,18,,2,,2,,,,1,1,1,2,,4,,,6,,1,,,,,
Terkonfirmasi,2020-09-27,73,80,105,,45,20,1217,21,437,258,220,11,140,11,77,6,55,19,82,216,25,97,82,120,,15,203,,,39,113,46,8,33
Sembuh,2020-09-27,148,72,213,13,11,26,1297,2,230,118,402,9,144,26,75,2,1,8,42,68,22,181,,217,,14,194,,39,17,,8,,12
Meninggal,2020-09-27,5,7,5,,,1,13,,1,3,16,1,3,,1,,,2,3,3,,3,2,3,,,6,,,,,,,
Terkonfirmasi,2020-09-28,79,107,127,,2,39,898,21,489,304,284,,114,64,40,4,12,17,51,206,7,85,17,59,18,10,254,4,,64,46,,,87
Sembuh,2020-09-28,165,139,125,9,,54,1328,,307,201,378,,150,30,89,,104,4,51,80,36,193,44,175,3,19,110,,,39,,,13,10
Meninggal,2020-09-28,12,9,2,,,,9,,3,8,20,,2,1,4,,,1,2,2,,3,3,,,,4,,,2,,,,
Terkonfirmasi,2020-09-29,146,106,82,10,18,49,1238,23,316,275,276,17,114,85,52,2,18,7,58,254,12,88,39,147,9,24,236,7,88,34,,156,4,12
Sembuh,2020-09-29,123,123,81,2,19,59,1118,,98,260,385,19,49,4,64,1,16,39,25,86,20,168,62,463,6,14,158,3,66,14,,1,5,16
Meninggal,2020-09-29,7,8,1,,,2,21,2,15,12,24,1,11,,2,,,,,6,2,2,2,3,,,4,,,3,,,,
Terkonfirmasi,2020-09-30,83,133,144,14,28,36,1159,23,446,230,294,8,213,11,59,2,34,27,110,101,31,102,43,78,8,19,352,6,,47,322,21,18,82
Sembuh,2020-09-30,,116,280,1,20,29,1456,,371,200,350,2,251,120,38,44,2,40,86,104,21,170,14,374,11,11,246,,,27,92,8,6,20
Meninggal,2020-09-30,2,4,1,,,,13,,15,5,30,,19,2,2,,,1,6,11,1,4,,4,,3,8,,,1,6,,,1
Terkonfirmasi,2020-10-01,112,141,100,10,20,37,1253,21,559,299,314,29,131,46,55,6,16,30,40,192,18,111,48,119,30,13,265,2,44,31,61,10,5,6
Sembuh,2020-10-01,162,122,137,,15,49,1122,3,128,187,323,14,108,15,73,7,1,14,65,107,24,152,15,237,20,16,279,,59,11,32,,8,35
Meninggal,2020-10-01,3,3,3,,2,2,6,,15,5,30,,20,,,,,2,3,3,,5,1,,1,,7,,,,5,,,
Terkonfirmasi,2020-10-02,188,130,82,16,9,20,1198,24,544,344,283,6,319,29,76,7,23,26,72,114,25,89,79,74,10,25,181,7,117,47,122,5,10,16
Sembuh,2020-10-02,,91,113,9,10,23,655,5,185,203,360,18,84,33,63,1,9,7,86,132,38,180,88,196,4,17,155,,,,60,4,3,21
Meninggal,2020-10-02,5,6,3,1,1,4,3,3,15,17,18,,10,,4,,,2,3,5,1,2,,,1,3,6,,,,3,,,
Terkonfirmasi,2020-10-03,73,105,135,19,2,72,1265,13,343,372,308,6,117,38,83,7,33,22,70,285,21,86,43,43,11,10,172,1,,46,186,11,9,
Sembuh,2020-10-03,155,108,100,4,,19,1188,3,95,200,346,5,148,82,71,21,34,17,90,115,25,130,8,118,16,9,488,9,27,3,47,22,,9
Meninggal,2020-10-03,3,3,2,,,1,4,,15,5,20,,2,,2,,,2,,7,,2,,4,,,5,,,1,5,,,
Terkonfirmasi,2020-10-04,67,111,169,5,4,19,1398,22,248,314,249,19,228,18,56,6,37,26,46,255,25,83,34,68,5,9,163,,64,87,91,9,16,41
Sembuh,2020-10-04,196,130,68,6,6,70,1032,5,79,183,316,19,230,30,97,4,1,10,65,132,27,110,16,122,3,13,210,,32,91,31,15,21,31
Meninggal,2020-10-04,6,4,5,1,,1,13,,15,3,20,,3,1,1,1,,1,2,1,,4,1,3,,,6,,,,4,,,
Terkonfirmasi,2020-10-05,70,83,139,12,24,22,1022,25,503,365,237,2,117,28,44,2,39,21,23,216,19,89,3,17,1,37,298,2,22,15,100,1,1,23
Sembuh,2020-10-05,178,127,72,6,29,77,984,5,790,200,285,,197,38,31,3,86,20,75,154,41,121,86,156,2,16,283,8,,20,,4,13,33
Meninggal,2020-10-05,5,4,3,,,,16,,15,5,22,,9,,1,,3,,1,3,1,3,1,,1,,8,,,,,,,1
Terkonfirmasi,2020-10-06,118,99,100,5,6,20,1107,29,508,400,282,41,200,14,72,5,29,23,71,86,35,98,92,46,24,27,131,,68,114,192,12,2,
Sembuh,2020-10-06,99,129,98,2,30,40,1017,7,201,340,292,8,151,42,107,19,44,33,4,300,15,204,65,200,12,22,175,4,16,67,55,5,14,27
Meninggal,2020-10-06,4,6,4,,,,31,,16,8,23,,3,3,3,,,,5,3,,2,,,1,,6,,,,3,,,
Terkonfirmasi,2020-10-07,72,105,80,10,4,20,1211,22,752,384,331,10,202,37,40,13,10,7,114,194,22,96,95,139,23,16,150,,48,69,141,20,18,83
Sembuh,2020-10-07,211,120,122,1,20,20,986,10,513,270,293,4,110,36,68,3,100,18,44,119,51,177,30,85,4,,260,8,48,41,51,4,3,24
Meninggal,2020-10-07,2,5,1,,,,15,,13,5,25,,4,1,1,,,,2,9,1,5,1,,1,2,2,,,3,,,,
Terkonfirmasi,2020-10-08,169,107,122,2,12,51,1182,46,597,348,347,13,238,11,42,6,29,14,83,201,33,99,100,213,14,58,244,5,94,210,98,6,47,9
Sembuh,2020-10-08,166,125,94,,20,9,1044,1,325,270,334,1,238,49,69,2,133,13,151,142,23,189,31,127,7,16,91,,32,7,47,6,7,
Meninggal,2020-10-08,,7,5,,,1,17,,3,10,24,,11,1,5,,1,,3,4,,7,,2,1,,3,,,,1,,1,1
Terkonfirmasi,2020-10-09,123,138,141,14,11,56,943,45,504,412,310,28,135,24,81,3,,28,63,295,19,95,63,101,11,,204,,,100,116,10,19,2
Sembuh,2020-10-09,93,138,86,2,14,31,850,5,563,210,306,30,182,8,142,4,,22,65,167,35,164,36,111,20,17,66,33,,87,,8,6,106
Meninggal,2020-10-09,2,4,,,1,2,21,2,2,10,20,,10,,1,,,2,3,4,1,2,1,2,,1,6,,,,,,,
Terkonfirmasi,2020-10-10,98,131,171,7,11,69,1259,30,268,410,310,80,131,17,53,5,75,7,66,245,40,88,58,163,13,31,231,7,124,37,44,1,7,7
Sembuh,2020-10-10,,143,89,23,25,13,1282,1,378,270,305,7,134,18,22,7,135,7,73,134,27,148,33,109,14,3,142,,25,19,50,148,3,27
Meninggal,2020-10-10,2,3,3,,,,16,,1,17,10,,6,2,1,,,1,1,5,,1,,2,,2,10,,1,1,3,,,
Terkonfirmasi,2020-10-11,123,107,106,13,7,35,1389,22,205,318,269,81,194,34,76,8,22,19,33,350,54,85,91,176,16,11,310,,39,125,150,15,7,7
Sembuh,2020-10-11,,98,86,5,30,37,1062,6,555,205,272,42,209,27,79,2,48,7,41,206,50,157,6,90,6,1,109,,,61,,13,,36
Meninggal,2020-10-11,1,1,3,,1,1,18,2,,8,21,,5,,1,,1,,,3,,6,1,1,,,5,,,,,,,
Terkonfirmasi,2020-10-12,77,93,79,,1,43,1211,13,286,239,296,,66,26,26,4,72,15,45,166,5,87,59,81,1,16,209,16,13,20,,,,2
Sembuh,2020-10-12,161,138,76,2,30,84,1086,,238,280,303,,61,38,45,,44,7,53,112,48,175,27,158,4,,116,4,120,35,,,1,46
Meninggal,2020-10-12,1,3,2,,,1,25,,9,7,22,,2,,1,,,,4,,1,5,,2,3,,2,,,1,,,,
Terkonfirmasi,2020-10-13,51,76,81,1,3,38,1054,38,565,466,315,14,108,11,78,13,22,8,66,172,9,89,109,98,17,15,163,5,6,43,142,23,7,
Sembuh,2020-10-13,105,141,62,13,,39,1100,2,569,292,351,66,31,69,111,6,54,72,17,91,20,134,18,243,27,,120,20,109,735,108,7,9,36
Meninggal,2020-10-13,3,8,3,,,1,19,,,8,21,,2,1,1,,,,3,3,,7,,4,1,,4,,,1,1,1,,
Terkonfirmasi,2020-10-14,65,109,91,5,18,26,1038,30,442,286,299,17,210,9,55,11,19,26,60,351,45,88,66,149,10,42,300,4,5,,224,15,2,10
Sembuh,2020-10-14,58,141,106,26,14,20,1191,,524,897,330,55,271,32,53,10,1,51,56,125,22,161,46,78,4,17,145,4,22,,46,26,7,16
Meninggal,2020-10-14,3,7,8,,,2,17,,13,10,17,,5,2,3,,6,2,6,1,1,5,1,2,,5,12,,,,1,,,
Terkonfirmasi,2020-10-15,117,100,111,4,7,45,1071,23,590,472,267,29,165,27,76,,39,25,58,363,11,90,100,113,21,17,181,1,12,156,111,7,1,1
Sembuh,2020-10-15,149,157,250,10,,55,1050,3,304,2223,312,59,135,33,59,4,67,15,27,131,30,110,33,119,3,,115,,180,64,58,7,,48
Meninggal,2020-10-15,3,1,2,,,2,20,,7,28,12,,7,,1,,1,,3,4,1,4,2,,,1,8,,,3,1,,,1
Terkonfirmasi,2020-10-16,177,92,116,4,7,45,1045,26,424,443,291,25,94,31,68,14,69,33,53,484,62,89,48,107,,29,278,5,8,118,,5,7,4
Sembuh,2020-10-16,129,133,98,6,15,32,982,20,387,396,346,51,208,39,44,5,71,19,65,148,38,111,35,166,,63,102,14,72,50,,7,31,
Meninggal,2020-10-16,6,1,1,,1,,24,,,9,19,,3,1,2,,,,,3,2,3,2,,,,2,,,,,,,
Terkonfirmasi,2020-10-17,182,92,127,11,23,24,974,26,500,416,238,31,197,36,71,4,,27,46,450,29,86,73,66,51,35,256,,42,112,69,5,2,
Sembuh,2020-10-17,131,99,114,12,2,48,1106,27,440,320,323,35,272,32,66,4,,24,47,256,32,100,10,173,23,20,118,,109,60,18,4,6,17
Meninggal,2020-10-17,1,2,7,,3,,21,,,10,13,,1,,2,,,1,,2,,5,,2,,1,8,,,1,4,,,
Terkonfirmasi,2020-10-18,115,74,130,16,15,40,971,14,211,356,242,15,382,,39,23,68,31,39,263,26,83,226,131,17,13,284,,40,161,71,3,3,3
Sembuh,2020-10-18,287,78,157,6,20,64,1074,,345,392,253,3,211,,58,13,38,11,56,107,41,108,51,115,3,20,112,,64,32,,13,,
Meninggal,2020-10-18,7,3,5,1,1,1,17,,,3,15,1,2,,2,1,1,,4,2,1,2,2,1,1,2,4,,,1,,,,
Terkonfirmasi,2020-10-19,116,109,120,1,3,18,926,6,524,316,242,,85,41,7,1,47,28,39,242,41,91,26,43,2,42,197,11,36,10,,,1,2
Sembuh,2020-10-19,215,100,56,15,,75,1124,3,339,352,341,,73,46,33,9,,6,7,170,24,118,108,90,10,23,521,3,29,7,,,,22
Meninggal,2020-10-19,,3,5,,,,14,1,21,5,18,,3,,2,,1,2,2,13,2,4,,,1,2,4,,1,2,,,,
Terkonfirmasi,2020-10-20,98,75,79,7,35,13,964,39,472,449,300,23,68,27,42,,32,21,47,168,22,90,26,67,39,36,167,11,20,17,129,15,4,
Sembuh,2020-10-20,217,105,121,5,6,51,846,8,213,600,307,28,145,77,42,,77,10,47,110,27,92,238,100,13,,635,19,60,103,95,7,5,1
Meninggal,2020-10-20,2,2,3,,1,,22,2,20,20,20,,,,2,,,2,2,3,2,4,,,1,1,3,,,2,2,,,1
Terkonfirmasi,2020-10-21,79,87,171,15,2,33,1000,22,657,374,327,,183,13,20,20,97,32,99,279,27,87,81,97,36,44,313,10,7,35,,4,13,3
Sembuh,2020-10-21,,95,148,5,,21,1072,,550,380,315,,122,17,36,9,,14,31,267,24,79,65,189,17,,305,,31,45,,10,5,4
Meninggal,2020-10-21,3,2,1,,,2,21,,16,13,24,,5,,2,1,,1,3,5,2,2,,,2,1,9,,1,6,,,,1
Terkonfirmasi,2020-10-22,103,83,220,6,11,45,989,19,736,513,268,46,259,,27,17,,25,34,223,12,85,90,77,13,40,282,28,,73,95,,10,3
Sembuh,2020-10-22,,94,75,7,20,19,1159,40,332,364,347,12,185,,42,5,,42,80,114,26,82,100,100,15,23,171,,,16,,8,6,13
Meninggal,2020-10-22,2,2,4,,1,,16,,23,10,13,,8,,3,,,1,1,3,2,3,2,,,2,6,,,,,,,
Terkonfirmasi,2020-10-23,90,78,145,,33,28,952,24,504,571,295,31,223,51,48,9,114,20,73,257,45,91,78,61,12,62,276,7,26,97,49,,19,
Sembuh,2020-10-23,,78,75,3,13,25,1093,6,319,470,341,15,237,55,80,12,24,27,62,523,28,72,74,87,18,4,252,,49,38,,2,12,
Meninggal,2020-10-23,4,6,4,,,,21,,10,15,12,,1,2,3,,9,1,7,7,,2,1,2,1,2,6,,,2,,,,
Terkonfirmasi,2020-10-24,88,76,105,5,8,44,1062,26,421,284,289,36,241,20,46,5,81,6,65,300,44,84,72,65,12,29,380,1,68,21,57,7,15,7
Sembuh,2020-10-24,,89,88,2,,36,1155,22,654,430,306,6,168,52,98,9,33,14,40,201,29,78,106,55,7,,278,,42,91,,19,9,2
Meninggal,2020-10-24,6,10,2,,1,,20,,19,20,16,,2,1,3,,7,1,1,,1,,1,,2,3,9,,1,2,,,,
Terkonfirmasi,2020-10-25,87,109,231,4,26,44,771,22,356,356,268,,175,18,19,14,155,22,22,359,33,90,43,43,18,50,290,,21,6,49,9,3,19
Sembuh,2020-10-25,,82,119,2,8,68,1229,54,467,363,242,,150,26,52,8,53,16,181,172,33,75,71,100,39,2,557,,98,239,,21,,18
Meninggal,2020-10-25,1,1,8,,1,,18,,11,8,16,,3,,3,,1,2,,6,,2,2,4,,,3,,,,,,,4
Terkonfirmasi,2020-10-26,40,67,120,1,,26,906,9,431,156,296,13,106,23,2,2,138,26,16,269,23,93,10,14,4,45,205,4,,6,167,1,1,2
Sembuh,2020-10-26,,59,261,7,5,29,1162,20,442,303,296,12,127,34,56,2,70,22,130,185,31,85,62,80,32,,251,,59,18,65,,,3
Meninggal,2020-10-26,5,2,3,,,,13,,15,16,20,2,2,3,3,,2,,2,3,,7,,,,3,4,,,2,5,,,
Terkonfirmasi,2020-10-27,13,65,124,12,22,41,781,7,390,316,289,29,123,10,12,9,103,29,43,313,11,90,38,205,17,40,246,1,33,83,,9,14,2
Sembuh,2020-10-27,,76,101,13,12,32,1134,21,555,317,247,6,216,32,32,8,,32,60,480,25,90,55,380,13,,298,,37,265,,32,6,1
Meninggal,2020-10-27,4,4,,,,1,11,1,14,12,21,,4,,3,,,,1,9,2,1,1,,,4,6,,2,,,,,
Terkonfirmasi,2020-10-28,74,68,170,7,23,45,844,32,403,318,246,14,214,4,70,14,135,27,86,276,44,92,143,120,10,43,253,3,13,106,125,3,2,2
Sembuh,2020-10-28,,36,94,15,3,42,1047,32,367,327,233,22,92,17,80,7,23,32,38,198,15,88,110,106,10,36,264,,38,120,39,,14,
Meninggal,2020-10-28,6,2,1,,,1,16,1,6,10,20,4,1,,2,,1,,,4,2,2,,2,1,2,6,1,,2,5,2,,
Terkonfirmasi,2020-10-29,34,59,91,5,9,82,713,31,459,368,268,13,208,40,32,9,163,10,77,335,64,88,46,23,7,28,260,,5,8,20,,10,
Sembuh,2020-10-29,,56,78,2,5,51,1078,19,492,230,254,,275,27,43,4,17,31,138,550,36,82,117,71,11,46,221,,28,15,,,2,6
Meninggal,2020-10-29,,2,2,,,1,14,,,9,16,1,5,,2,,3,,2,9,1,3,,10,,3,6,,,,,,,
Terkonfirmasi,2020-10-30,21,65,107,3,32,59,612,11,320,195,222,17,205,11,44,7,67,16,43,301,37,89,24,41,,37,161,3,,48,62,27,,10
Sembuh,2020-10-30,,108,182,,10,60,1077,14,356,300,215,5,254,35,59,,29,4,32,1176,36,73,90,82,4,24,249,,,1,,7,33,2
Meninggal,2020-10-30,3,3,2,,,1,14,,4,14,18,3,1,,1,,1,1,,5,,1,1,1,,1,6,,,,,,,
Terkonfirmasi,2020-10-31,11,52,84,2,,32,750,,411,617,223,5,116,5,48,1,40,6,62,252,19,93,24,6,2,31,127,,62,13,45,2,2,
Sembuh,2020-10-31,,63,132,12,,23,1032,12,289,286,226,5,270,25,78,18,58,3,36,261,25,87,99,61,19,,225,,46,107,,3,,5
Meninggal,2020-10-31,1,2,3,,1,1,19,,1,11,10,,10,,3,,,1,1,4,4,4,1,3,,2,5,,,,,,,
Terkonfirmasi,2020-11-01,21,57,90,4,1,16,608,,245,458,253,22,168,,25,4,17,24,54,225,21,91,120,25,19,26,31,,11,40,,7,9,4
Sembuh,2020-11-01,,57,106,2,,13,1475,,638,332,323,,184,,75,15,,5,66,244,24,72,84,107,5,73,171,,,54,,14,1,1
Meninggal,2020-11-01,,2,2,,,,19,,2,11,8,1,5,,2,,,,10,5,,2,,,,2,2,,,1,,,,
Terkonfirmasi,2020-11-02,31,25,74,5,5,32,1024,,341,248,284,,86,37,12,3,22,2,18,178,24,79,3,2,2,33,11,33,,,,,4,
Sembuh,2020-11-02,136,85,50,7,30,49,1057,,389,362,300,,250,26,25,6,107,9,9,250,19,68,87,66,20,,157,18,34,,,1,1,6
Meninggal,2020-11-02,,2,4,,3,1,18,,11,10,23,,2,2,,1,,1,5,5,1,6,1,1,2,,2,,,,,,,
Terkonfirmasi,2020-11-03,25,60,72,11,12,49,617,7,484,453,272,35,152,17,16,12,63,18,31,73,24,78,7,27,11,52,106,,14,91,45,5,24,10
Sembuh,2020-11-03,178,81,64,7,9,22,1026,29,387,430,261,3,275,20,54,7,,23,81,251,52,72,132,42,6,,352,,1,26,21,,17,2
Meninggal,2020-11-03,2,1,2,,2,1,10,1,5,23,19,1,4,1,1,1,2,,6,4,1,4,,,2,3,2,,,,,1,2,1
Terkonfirmasi,2020-11-04,44,73,90,34,18,40,768,5,516,547,239,19,146,20,15,15,34,26,70,170,8,79,42,70,17,48,172,2,,18,,1,10,
Sembuh,2020-11-04,180,77,107,6,13,47,934,7,290,362,243,7,125,16,42,3,28,59,47,668,23,77,34,71,7,43,247,,,11,,1,5,5
Meninggal,2020-11-04,5,1,3,,,2,15,,15,15,20,,1,2,,,,2,5,5,2,6,2,2,,4,4,,,2,,,,
Terkonfirmasi,2020-11-05,37,60,50,15,23,168,797,10,627,360,278,60,307,50,93,16,44,54,68,238,43,77,41,63,32,38,159,1,7,31,193,10,15,
Sembuh,2020-11-05,,102,73,3,33,30,972,22,380,330,267,7,238,18,27,20,70,78,88,374,19,63,54,45,13,,315,,19,9,162,20,9,
Meninggal,2020-11-05,2,3,,,,2,15,,9,15,15,,1,1,1,,1,1,3,4,,4,,,1,2,2,,,1,4,,2,
Terkonfirmasi,2020-11-06,71,74,104,15,17,25,672,15,587,613,289,79,190,49,63,7,42,21,94,235,1,78,79,26,25,44,143,3,30,66,,12,8,1
Sembuh,2020-11-06,194,81,103,13,5,30,1024,17,451,293,270,49,124,29,38,7,27,27,44,290,37,60,30,35,11,,207,,31,9,,1,21,5
Meninggal,2020-11-06,,3,7,,,1,18,,,12,17,,,3,2,1,,2,1,6,2,4,2,,2,3,7,,1,,,,,
Terkonfirmasi,2020-11-07,27,68,125,13,40,38,1118,18,476,489,269,83,265,42,50,11,43,32,83,167,52,76,73,125,25,39,165,2,10,54,,162,17,5
Sembuh,2020-11-07,83,50,93,4,8,49,989,20,462,301,267,6,299,10,16,14,27,17,4,265,25,63,26,48,25,81,357,,77,12,,10,4,
Meninggal,2020-11-07,3,,2,,2,2,11,,,28,14,,4,1,2,,7,,2,8,2,2,,,,1,5,,1,,,1,,
Terkonfirmasi,2020-11-08,26,44,59,16,38,34,826,41,479,640,282,36,201,53,46,3,84,46,42,196,58,78,46,77,59,60,158,,40,52,33,9,10,8
Sembuh,2020-11-08,247,48,74,9,25,33,979,31,625,260,261,25,212,5,17,10,82,61,96,242,10,58,18,39,11,5,165,,13,151,50,2,16,1
Meninggal,2020-11-08,,,3,,,1,8,,1,7,15,,6,,2,,4,2,3,6,1,2,1,,,6,4,,,,2,,,
Terkonfirmasi,2020-11-09,3,68,120,,4,32,716,36,330,619,234,,75,35,10,4,28,44,26,126,44,75,4,58,,86,13,4,11,8,,35,1,4
Sembuh,2020-11-09,203,70,42,7,20,61,1124,35,920,297,242,,309,20,7,3,49,3,26,186,40,64,26,15,24,18,125,,14,7,,1,7,3
Meninggal,2020-11-09,,1,6,,,2,12,,2,10,14,,3,1,1,,2,,3,2,1,2,,1,1,6,2,,1,2,,,,
Terkonfirmasi,2020-11-10,29,44,55,10,24,21,1013,11,748,680,272,,123,20,59,6,,11,51,112,30,76,92,48,30,,151,3,29,23,,,8,
Sembuh,2020-11-10,,2,,,27,19,1253,50,905,232,301,,144,25,44,7,,,38,190,19,67,9,84,32,,,,18,,,2,5,2
Meninggal,2020-11-10,,,,1,,,13,,5,15,20,,4,2,,,,,1,4,2,3,,1,1,,,,,,,,,
Terkonfirmasi,2020-11-11,51,93,125,48,18,30,587,11,668,161,168,33,345,45,71,12,158,36,76,254,78,78,30,168,37,99,146,28,25,72,,13,6,
Sembuh,2020-11-11,,134,2,3,8,43,962,30,434,306,186,23,123,11,59,9,12,,85,103,,60,5,68,11,6,505,,14,37,,2,,
Meninggal,2020-11-11,,2,,,1,1,12,1,5,15,18,,2,,2,,,,5,,,1,,,1,,9,,,,,,,
Terkonfirmasi,2020-11-12,27,89,100,23,13,79,831,15,733,608,270,13,235,89,49,13,97,28,72,198,37,79,42,26,12,95,116,,44,11,100,12,12,5
Sembuh,2020-11-12,,50,5,4,11,25,1054,32,524,338,243,12,244,25,28,,4,,51,53,51,79,22,28,23,,86,,26,19,35,14,2,14
Meninggal,2020-11-12,,1,,2,2,2,10,2,21,12,19,,4,1,1,1,6,,4,2,,2,,,,,3,,,,1,1,,
